,薬効分類名称,一般名,剤形,総計(処方数量),男_0～4歳,男_5～9歳,男_10～14歳,男_15～19歳,男_20～24歳,男_25～29歳,男_30～34歳,男_35～39歳,男_40～44歳,男_45～49歳,男_50～54歳,男_55～59歳,男_60～64歳,男_65～69歳,男_70～74歳,男_75～79歳,男_80～84歳,男_85～89歳,男_90～94歳,男_95～99歳,男_100歳以上,女_0～4歳,女_5～9歳,女_10～14歳,女_15～19歳,女_20～24歳,女_25～29歳,女_30～34歳,女_35～39歳,女_40～44歳,女_45～49歳,女_50～54歳,女_55～59歳,女_60～64歳,女_65～69歳,女_70～74歳,女_75～79歳,女_80～84歳,女_85～89歳,女_90～94歳,女_95～99歳,女_100歳以上
1188,たん白アミノ酸製剤,経腸成分栄養剤,液剤・シロップ剤,40470659230.0,230896370.0,317279245.0,287672569.0,280666400.0,267755305.0,239011894.0,213623669.0,211681692.0,238252850.0,298934037.0,443981390.0,538074735.0,719751732.0,1004801121.0,1815807971.0,2245056430.0,2510391400.0,2306044632.0,1464923481.0,485334686.0,61876782.0,214862901.0,265106938.0,251952045.0,240882458.0,221126933.0,194397102.0,171237939.0,177901763.0,215944145.0,261716894.0,326968162.0,362863144.0,448757224.0,628155405.0,1279168263.0,2102546629.0,3444327271.0,4986617361.0,5192334168.0,2680187638.0,621786482.0
1186,たん白アミノ酸製剤,経腸成分栄養剤,その他（内服）,9418980598.0,32986371.0,88942515.0,85153092.0,81286879.0,89367202.0,69662261.0,64072367.0,76497415.0,69348731.0,97186024.0,151282238.0,191547260.0,278839178.0,433546207.0,692877547.0,789074472.0,737383364.0,500793248.0,213160540.0,46345811.0,3645000.0,23878768.0,70177230.0,73660760.0,63918545.0,46098345.0,46401790.0,40746360.0,39229878.0,51187105.0,61630535.0,86773340.0,110466384.0,150887258.0,244976767.0,436299787.0,594009625.0,735558560.0,865216107.0,639254701.0,218833131.0,26777900.0
2572,制酸剤,酸化マグネシウム,錠剤,4521076943.0,215687.0,1660903.0,3724005.0,3412520.0,3897946.0,5678688.0,8056818.0,11995350.0,17944029.0,30522969.0,48141981.0,61173258.0,83215362.0,126450257.0,242552972.0,308708813.0,329980781.0,251225400.0,116938676.0,28254459.0,2684895.0,280833.0,1642529.0,5456399.0,9743456.0,15005127.0,37825424.0,57282972.0,63100767.0,66254554.0,89310015.0,119002194.0,124739820.0,136424842.0,167827073.0,285208346.0,372117074.0,443109321.0,425028258.0,289911858.0,107285138.0,17889615.0
6108,血管拡張剤,アムロジピンベシル酸塩,錠剤,4321774111.0,15393.0,53208.0,84379.0,209775.0,572171.0,1793029.0,5086824.0,13879578.0,33343144.0,79454406.0,140126464.0,178801198.0,218864990.0,260469483.0,349679323.0,322445827.0,246952042.0,149321042.0,57942584.0,11447163.0,882760.0,9470.0,33957.0,45134.0,60470.0,164234.0,600875.0,2125134.0,6506373.0,17248995.0,45854005.0,91832658.0,118718689.0,151730543.0,207296703.0,340334142.0,382355624.0,366574353.0,291314039.0,166366645.0,52366850.0,7657851.0
5905,血液凝固阻止剤,ヘパリン類似物質,軟膏・クリーム・外用液,3077423152.0,328521516.0,204668927.0,96825693.0,65228893.0,51312877.0,46614755.0,44904813.0,45381092.0,44460932.0,43354593.0,42067135.0,38004233.0,39348039.0,46924098.0,73065300.0,83067515.0,78907539.0,56663311.0,28676748.0,7662480.0,771467.0,279242123.0,184645295.0,89282223.0,57435266.0,46006455.0,49960280.0,52098507.0,58706376.0,63615960.0,73454515.0,77330119.0,63487572.0,56684804.0,55114350.0,75364181.0,84917213.0,86371508.0,76039126.0,54964733.0,22043954.0,4126553.0
4046,消化性潰瘍用剤,レバミピド,錠剤,2822354057.0,1081.0,422572.0,4438024.0,13875515.0,14203552.0,18969572.0,24928105.0,33778185.0,45075791.0,65074306.0,84264811.0,90647440.0,100069990.0,108315904.0,142039994.0,137575701.0,117110712.0,73401004.0,27942810.0,5403063.0,429159.0,1690.0,317999.0,4285809.0,14075972.0,19616613.0,26142052.0,32312451.0,44116845.0,59379018.0,86476034.0,112387110.0,115050882.0,124119790.0,139128873.0,204019723.0,225231080.0,225237373.0,168407796.0,86022442.0,24517111.0,3358243.0
5904,血液凝固阻止剤,ヘパリン類似物質,点眼・点耳・点鼻剤,2784862834.0,210183711.0,153016327.0,100904617.0,89600210.0,49529134.0,39176781.0,34735405.0,34065468.0,33427954.0,34064611.0,35339603.0,33946546.0,36073836.0,40044542.0,57712341.0,63188647.0,55884634.0,39505485.0,21025833.0,5786774.0,677082.0,187573801.0,144531820.0,109977985.0,90277248.0,53910518.0,56463444.0,53503551.0,58306528.0,66463343.0,83410477.0,94494729.0,81560196.0,70749644.0,63426151.0,80765142.0,89120618.0,84595159.0,71724141.0,51016211.0,20821692.0,4144926.0
5201,糖尿病用剤,メトホルミン塩酸塩,錠剤,2678986343.0,0.0,2608.0,348689.0,1143395.0,2075159.0,5378522.0,13034162.0,26821375.0,48963284.0,102245010.0,169914357.0,200813511.0,215028308.0,230304411.0,275157807.0,202198190.0,106135657.0,41999340.0,8960014.0,855502.0,12510.0,0.0,5506.0,361239.0,938556.0,1707136.0,3803262.0,7370759.0,13434691.0,22578968.0,42869242.0,73033879.0,93282963.0,110689875.0,137479140.0,190471625.0,163172769.0,100817578.0,47754527.0,14864461.0,2562690.0,175334.0
1362,ビタミンＢ剤（ビタミンＢ１剤を除く。）,メコバラミン,錠剤,2167064160.0,0.0,131869.0,1013991.0,2526936.0,3247038.0,5017835.0,7364487.0,11518497.0,17827270.0,30757568.0,47028781.0,58885998.0,73218470.0,90396653.0,130404881.0,136265471.0,125975961.0,80915204.0,29789620.0,5573582.0,417338.0,0.0,134864.0,1445519.0,3529272.0,5701142.0,8582751.0,11573060.0,17154896.0,26307343.0,43131437.0,64071706.0,72699579.0,83779930.0,102880523.0,164898530.0,201089435.0,220718671.0,170440699.0,85072712.0,22750453.0,2694769.0
6274,解熱鎮痛消炎剤,アセトアミノフェン,錠剤,2023141703.0,290140.0,13975315.0,48342483.0,36537760.0,21279222.0,21597336.0,23013971.0,25295529.0,26324462.0,31149482.0,36867316.0,38196513.0,42321331.0,47909810.0,69335143.0,74845586.0,77008216.0,61126199.0,30548716.0,7309760.0,693748.0,255226.0,11782862.0,41181099.0,34547463.0,28216249.0,33073760.0,38213844.0,41399102.0,41820347.0,47836570.0,55771427.0,55365365.0,57359063.0,64049539.0,101157519.0,129597003.0,171006027.0,174342129.0,116843848.0,39338420.0,5977306.0
