医薬品名,薬価基準収載医薬品コード,一般名,薬剤区分
ブロモバレリル尿素,1121001X1018,ブロモバレリル尿素,内服
抱水クロラール,1123001X1012,抱水クロラール,内服
ユーロジン散１％,1124001B1039,エスタゾラム,内服
ユーロジン１ｍｇ錠,1124001F1022,エスタゾラム,内服
エスタゾラム錠１ｍｇ「アメル」,1124001F1030,エスタゾラム,内服
ユーロジン２ｍｇ錠,1124001F2029,エスタゾラム,内服
エスタゾラム錠２ｍｇ「アメル」,1124001F2037,エスタゾラム,内服
ダルメートカプセル１５,1124002M2022,フルラゼパム塩酸塩,内服
ニトラゼパム１％細粒,1124003C1017,ニトラゼパム,内服
ベンザリン細粒１％,1124003C1092,ニトラゼパム,内服
ベンザリン錠２,1124003F1021,ニトラゼパム,内服
ニトラゼパム５ｍｇ錠,1124003F2010,ニトラゼパム,内服
ベンザリン錠５,1124003F2222,ニトラゼパム,内服
ニトラゼパム１０ｍｇ錠,1124003F3016,ニトラゼパム,内服
ベンザリン錠１０,1124003F3121,ニトラゼパム,内服
トリアゾラム０．１２５ｍｇ錠,1124007F1011,トリアゾラム,内服
ハルシオン０．１２５ｍｇ錠,1124007F1020,トリアゾラム,内服
トリアゾラム０．２５ｍｇ錠,1124007F2018,トリアゾラム,内服
ハルシオン０．２５ｍｇ錠,1124007F2026,トリアゾラム,内服
フルニトラゼパム１ｍｇ錠,1124008F1016,フルニトラゼパム,内服
サイレース錠１ｍｇ,1124008F1024,フルニトラゼパム,内服
フルニトラゼパム２ｍｇ錠,1124008F2012,フルニトラゼパム,内服
サイレース錠２ｍｇ,1124008F2020,フルニトラゼパム,内服
ブロチゾラム０．２５ｍｇ錠,1124009F1010,ブロチゾラム,内服
レンドルミン錠０．２５ｍｇ,1124009F1223,ブロチゾラム,内服
ブロチゾラム０．２５ｍｇ口腔内崩壊錠,1124009F2017,ブロチゾラム,内服
レンドルミンＤ錠０．２５ｍｇ,1124009F2025,ブロチゾラム,内服
エバミール錠１．０,1124010F1021,ロルメタゼパム,内服
ロラメット錠１．０,1124010F1030,ロルメタゼパム,内服
